time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-10T14:48:05.860Z,44.5645,100.5446,15.42,4.5,mb,,81,5.213,0.86,us,us20004g4x,2015-12-10T22:50:41.226Z,"22km SSE of Orgon, Mongolia",earthquake
2015-12-10T12:05:15.100Z,-58.9249,-23.8847,10,5.7,mwp,,53,8.359,1.4,us,us20004g40,2015-12-10T20:46:17.000Z,"151km E of Bristol Island, South Sandwich Islands",earthquake
2015-12-10T10:00:04.240Z,6.6214,126.1324,57.32,4.6,mb,,118,0.707,1,us,us20004g3h,2015-12-10T18:02:39.579Z,"3km ESE of Tibanbang, Philippines",earthquake
2015-12-10T07:36:26.550Z,6.6052,126.0865,59.39,4.8,mb,,109,0.683,0.81,us,us20004g2x,2015-12-10T15:39:01.688Z,"3km SW of Tibanbang, Philippines",earthquake
2015-12-10T05:38:46.490Z,-4.4471,129.7023,42.99,4.5,mb,,61,2.96,0.84,us,us20004g2m,2015-12-10T13:41:29.100Z,"150km SE of Amahai, Indonesia",earthquake
2015-12-10T02:47:39.400Z,11.212,-86.7973,33.36,4.7,mb,,158,1.115,0.7,us,us20004g2b,2015-12-10T10:50:09.669Z,"70km SSW of Masachapa, Nicaragua",earthquake
2015-12-10T02:04:45.740Z,-4.1989,129.5351,46.09,5.2,mb,,36,2.992,0.99,us,us20004g28,2015-12-10T10:07:28.713Z,"117km SE of Amahai, Indonesia",earthquake
2015-12-10T00:09:33.080Z,-35.8405,-73.2549,10,5.3,mb,,96,1.362,0.79,us,us20004g1p,2015-12-10T17:54:27.000Z,"85km W of Cauquenes, Chile",earthquake
2015-12-10T00:06:30.900Z,-4.1823,129.6526,35,4.6,mb,,71,2.879,1.33,us,us20004g1t,2015-12-10T08:08:59.079Z,"124km SE of Amahai, Indonesia",earthquake
2015-12-10T00:03:17.030Z,9.9825,-85.5914,18.59,4.6,mb,,148,0.135,1,us,us20004g1n,2015-12-10T17:28:56.984Z,"13km NNW of Samara, Costa Rica",earthquake
2015-12-09T23:16:42.900Z,-4.1841,129.6189,38.31,4.8,mb,,52,2.91,0.67,us,us20004g19,2015-12-10T07:19:17.481Z,"122km SE of Amahai, Indonesia",earthquake
2015-12-09T23:11:43.860Z,-4.055,129.5099,35,4.5,mb,,60,2.957,0.77,us,us20004g18,2015-12-10T07:14:23.708Z,"103km SE of Amahai, Indonesia",earthquake
2015-12-09T22:11:41.530Z,5.1658,126.8198,141.08,4.8,mb,,100,2.258,0.7,us,us20004g0z,2015-12-10T06:14:22.610Z,"150km SSE of Pondaguitan, Philippines",earthquake
2015-12-09T21:52:42.320Z,-37.6045,51.3505,10,5.3,mb,,30,16.036,0.79,us,us20004g0x,2015-12-10T05:55:23.798Z,"South Indian Ocean",earthquake
